title:Aegis' Endgame Analysis | Tier: S-B (No Exotic Tabs) (updated 2026-04-07)
description:Based on Aegis' Endgame Analysis Spreadsheet (updated 2026-04-07). -> https://docs.google.com/spreadsheets/d/1JM-0SlxVDAi-C6rGVlLxa-J1WGewEeL8Qvq4htWZHhY <- | Autogenerated by JxP on 2026-08-08 16:22:00

// A Good Shout
//notes:[Rank]: 1 / [Priority]: high / [Role]: DPS crossbow / [Source]: Tenet of Bravery, Zavala / [Alternatives]: Submersion | tags: aegis endgame pve
dimwishlist:item=3615748501&perks=3987942396,2319119708
dimwishlist:item=3615748501&perks=3987942396,2551157718
dimwishlist:item=3615748501&perks=4042220767,2319119708
dimwishlist:item=3615748501&perks=4042220767,2551157718
dimwishlist:item=3615748501&perks=1134488199,2319119708
dimwishlist:item=3615748501&perks=1134488199,2551157718
dimwishlist:item=649691506&perks=3987942396,2319119708
dimwishlist:item=649691506&perks=3987942396,2551157718
dimwishlist:item=649691506&perks=4042220767,2319119708
dimwishlist:item=649691506&perks=4042220767,2551157718
dimwishlist:item=649691506&perks=1134488199,2319119708
dimwishlist:item=649691506&perks=1134488199,2551157718

// Refurbished A499
//notes:[Rank]: 1 / [Priority]: high / [Role]: DPS heavy sniper / [Source]: Renegades | tags: aegis endgame pve
dimwishlist:item=3661051060&perks=2579169598,3764420437
dimwishlist:item=3661051060&perks=2579169598,968510818
dimwishlist:item=3661051060&perks=2289534249,3764420437
dimwishlist:item=3661051060&perks=2289534249,968510818
dimwishlist:item=3661051060&perks=1365187766,3764420437
dimwishlist:item=3661051060&perks=1365187766,968510818
dimwishlist:item=593808239&perks=2579169598,3764420437
dimwishlist:item=593808239&perks=2579169598,968510818
dimwishlist:item=593808239&perks=2289534249,3764420437
dimwishlist:item=593808239&perks=2289534249,968510818
dimwishlist:item=593808239&perks=1365187766,3764420437
dimwishlist:item=593808239&perks=1365187766,968510818

// Hezen Vengeance
//notes:[Rank]: 1 / [Priority]: high / [Role]: DPS rocket / [Source]: Vault of Glass / [Alternatives]: Bellowing Giant, Apex Predator, The Hothead | tags: aegis endgame pve
dimwishlist:item=2265407516&perks=1275731761,3764420437
dimwishlist:item=2265407516&perks=1275731761,1089671869
dimwishlist:item=2265407516&perks=1275731761,1439600632
dimwishlist:item=2265407516&perks=3987942396,3764420437
dimwishlist:item=2265407516&perks=3987942396,1089671869
dimwishlist:item=2265407516&perks=3987942396,1439600632
dimwishlist:item=2265407516&perks=3643424744,3764420437
dimwishlist:item=2265407516&perks=3643424744,1089671869
dimwishlist:item=2265407516&perks=3643424744,1439600632

// Veillantif-D
//notes:[Rank]: 1 / [Priority]: high / [Role]: energy rocket pulse / [Source]: SRL / [Alternatives]: Psi Aeterna IV | tags: aegis endgame pve
dimwishlist:item=1361871430&perks=1421772400,4293542123
dimwishlist:item=1361871430&perks=1421772400,2109543898
dimwishlist:item=1361871430&perks=1421772400,2890807135
dimwishlist:item=1361871430&perks=3017780555,4293542123
dimwishlist:item=1361871430&perks=3017780555,2109543898
dimwishlist:item=1361871430&perks=3017780555,2890807135
dimwishlist:item=1361871430&perks=1017229899,4293542123
dimwishlist:item=1361871430&perks=1017229899,2109543898
dimwishlist:item=1361871430&perks=1017229899,2890807135
dimwishlist:item=406384293&perks=1421772400,4293542123
dimwishlist:item=406384293&perks=1421772400,2109543898
dimwishlist:item=406384293&perks=1421772400,2890807135
dimwishlist:item=406384293&perks=3017780555,4293542123
dimwishlist:item=406384293&perks=3017780555,2109543898
dimwishlist:item=406384293&perks=3017780555,2890807135
dimwishlist:item=406384293&perks=1017229899,4293542123
dimwishlist:item=406384293&perks=1017229899,2109543898
dimwishlist:item=406384293&perks=1017229899,2890807135

// Still Hunt
//notes:[Rank]: 1 / [Priority]: high / [Role]: exotic burst special / [Source]: Exotic quest / [Alternatives]: Merciless, The Fourth Horseman, Izanagi's Burden | tags: aegis endgame pve
dimwishlist:item=2905188646&perks=

// Tractor Cannon
//notes:[Rank]: 1 / [Priority]: high / [Role]: exotic debuff / [Source]: Exotic quest / [Alternatives]: Divinity, Fafnir | tags: aegis endgame pve
dimwishlist:item=3580904581&perks=

// Hierarchy of Needs
//notes:[Rank]: 1 / [Priority]: high / [Role]: exotic DPS buff / [Source]: Spire of the Watcher / [Alternatives]: Gjallarhorn, D.A.R.C.I., Ergo Sum | tags: aegis endgame pve
dimwishlist:item=4174431791&perks=

// Choir of One
//notes:[Rank]: 1 / [Priority]: high / [Role]: exotic roam / [Source]: Encore / [Alternatives]: Praxic Blade, Dead Messenger, Gjallarhorn | tags: aegis endgame pve
dimwishlist:item=3698448090&perks=1931951170

// Truth
//notes:[Rank]: 1 / [Priority]: high / [Role]: exotic sustained heavy / [Source]: Kiosk / [Alternatives]: Leviathan's Breath, One Thousand Voices | tags: aegis endgame pve
dimwishlist:item=1201830623&perks=

// Celestial Nighthawk
