WEAPON,,,INFO,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Gridskipper,25,Void,Rapid,55,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Repulsor Brace
Demolitionist",Destabilizing Rounds,Splicer Surge,great Void combo + solid origin for this primary type,1,S
,The Martlet,28,Void,Lightweight,56,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Firefly
Repulsor Brace",Destabilizing Rounds,Fleet Footed,Gridskipper with worse origin/archetype and Firefly option,2,S
,Claws of the Wolf,24,Void,Rapid,46,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Repulsor Brace,"Destabilizing Rounds
Attrition Orbs",Skulking Wolf,similar to Gridskipper with arugably worse origin,3,S
,Joxer's Longsword,26,Void,Heavy Burst,49,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine","Repulsor Brace
Dragonfly
Demolitionist","Destabilizing Rounds
Demoralize",One Quiet Moment,bit more diversity and arguably better archetype for worse origin,4,S
,Nullify,24,Solar,Heavy Burst,51,Yes,Fluted Barrel,"Flared Magwell
Alloy Magazine","Firefly
Heal Clip
Demolitionist","Incandescent
Chaos Reshaped
Attrition Orbs",Collective Purpose,"great frame, double splash, diverse perks, just mid origin",5,S
,High Tyrant,28,Void,Balanced (540RPM),58,Yes,"Fluted Barrel
Arrowhead Brake","Light Heatsink
Overclocked Heatsink","Destabilizing Rounds
Repulsor Brace
Loose Change","Meganeura
Demoralize
Frenzy",Imperial Allegiance,shame about Destab in 1st column but good double splash,6,S
,Horror's Least,28,Arc,Rapid,56,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Trickle Charge
Supercharged Magazine","Jolting Feedback
Rolling Storm",Accelerated Assault,"fast Jolting activations, unknown reload perk quality",7,A
,Vantage Point,25,Arc,Adaptive,53,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Eddy Current,Jolting Feedback,Dark Ether Reaper,underrated combo of Jolting + great origin,8,A
,Oversoul Edict,22,Arc,Rapid,57,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Eddy Current
Demolitionist",Voltshot,Cursed Thrall,excellent origin + best frame for Voltshot usage,9,A
