WEAPON,,INFO,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Perfect Paradox,24,Kinetic,Rapid,54,Yes,Barrel Shroud,"Tactical Mag
Accurized Rounds","Pugilist
Field Prep
Threat Detector","One-Two Punch
Trench Barrel
Vorpal Weapon",Cast No Shadows,BiS shotgun for most common shotgun use case,1,S
,Unvoiced,26,Void,Pinpoint Slug,46,Yes,Fluted Barrel,Assault Mag,"Redirection
Fourth Time's the Charm
Envious Arsenal","Elemental Honing
Bait and Switch
Vorpal Weapon",Subjugation,niche Redirection burst + total damage slug,2,S
,IKELOS_SG_v1.0.3,19,Solar,Rapid,60,Yes,Barrel Shroud,"Tactical Mag
Accurized Rounds","Grave Robber
Threat Detector
Pugilist","One-Two Punch
Surrounded
Cascade Point",Rasputin's Arsenal,excellent perks for 12P and roam,3,S
,Arcane Embrace,27,Arc,Heavy Burst,42,Yes,Fluted Barrel,Appended Mag,"Fourth Time's the Charm
Dual Loader
Grave Robber","Aggregate Charge
Precision Instrument
Surrounded",Search Party,niche legendary shotgun dump roll,4,A
,Until Its Return,21,Strand,Rapid,54,Yes,Barrel Shroud,Tactical Mag,"Auto-Loading Holster
Overflow","Cascade Point
Surrounded
Vorpal Weapon",Unsated Hunger,"legendary Horseman-esque burst, uncommon",5,A
,"A Sudden Death
RotN version",26,Void,Aggressive,38,Yes,Barrel Shroud,Assault Mag,"Discord
One-Two Punch","Trench Barrel
Redirection",Gravity Well,decent roam potential + double damage option,6,A
,Imperial Decree,20,Kinetic,Aggressive,39,Yes,Barrel Shroud,Assault Mag,Auto-Loading Holster,"Trench Barrel
Surrounded",To Excess,go-to QoL Trench aggressive,7,A
,Pure Recollection,27,Void,Heavy Burst,40,Yes,Fluted Barrel,"Appended Mag
Ricochet Rounds","Envious Arsenal
High-Impact Reserves","Bait and Switch
Withering Gaze",Roar of Battle,probably BiS close range Withering special,8,A
,Heritage,12,Kinetic,Pinpoint Slug,49,Yes,Fluted Barrel,Assault Mag,"Reconstruction
Demolitionist",Recombination,Bray Inheritance,solid major burst but unneeded in sandbox,9,A
