WEAPON,,INFO,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,No Hesitation,29,Solar,Support,54,Yes,Full Bore,Accurized Rounds,"Physic
Burning Ambition","Chaos Reshaped
Attrition Orbs
Incandescent",Dealer's Choice,"on-demand survivability on any class, Benevolence synergy",1,S
TBA,DECATUR 02,29,Stasis,Support,54,Yes,Full Bore,Accurized Rounds,"Physic
Attrition Orbs
Crystalline Corpsebloom","Reciprocity
Master of Arms
Redirection",Carrion Munitions,"Frost Armor not as good as Restoration, but good perk spread",2,S
,Adamantite,29,Strand,Support,54,Yes,Full Bore,Accurized Rounds,"Physic
Reciprocity
Demolitionist","Hatchling
Desperate Measures
Tear",Heretical Behavior,"no self-healing if Physic taken, but basically Navigator at home",3,S
,Reckless Oracle,29,Void,Rapid,54,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Destabilizing Rounds
Dimensional Shift
Collective Demolition","Repulsor Brace
Chaos Reshaped
Withering Gaze",Elliptical Orbit,"every relevant void perk and Chaos to boot, great all around",4,S
,Cusp Sempiternal,27,Void,Support,51,Yes,Full Bore,Accurized Rounds,"Reciprocity
Repulsor Brace
Attrition Orbs","Destabilizing Rounds
Master of Arms
Withering Gaze",Frame of Reference,"Void Overshield to allies, great perk pool",5,A
,Gnawing Hunger,29,Void,Adaptive,55,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Repulsor Brace
Demolitionist
Withering Gaze","Destabilizing Rounds
Master of Arms",Gun and Run,"best general combo, also has Withering access",6,A
,Positive Outlook,29,Void,Precision,59,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Repulsor Brace
Withering Gaze","Destabilizing Rounds
Mega Kill Clip",Accelerated Assault,"classic void combo, Withering access, good origin",7,A
,Arctic Haze,29,Solar,Rapid,50,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Incandescent
Heal Clip
Demolitionist","Burning Ambition
Frenzy",Winterized Gear,"solid double splash, just a disappointing origin",8,A
TBA,The Ringing Nail,29,Solar,Precision,50,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Incandescent
Heal Clip
Impromptu Ammunition","Burning Ambition
Firefly
Onslaught",Forge's Kin,"great ignition auto, but mediocre frame and origin",9,A
,Zealous Ideal,28,Solar,Balanced (450RPM),58,Yes,"Fluted Barrel
Arrowhead Brake","Light Heatsink
Overclocked Heatsink","Heal Clip
Attrition Orbs","Incandescent
Burning Ambition",Imperial Allegiance,"similar to Ahab Char, has Incandescent/Attrition/blaster access though",10,A
,Reghusk's Pledge,28,Void,Rapid,53,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Destabilizing Rounds
Demoralize","Repulsor Brace
Golden Tricorn
Attrition Orbs",Skulking Wolf,basically Reckless with a few extra perks and a different origin,11,A
,Abyss Defiant,29,Solar,High-Impact,52,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Heal Clip
Burning Ambition",Incandescent,Cursed Thrall,excellent origin and solid perks held back by frame,12,A
,The Summoner,29,Solar,Adaptive,51,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Heal Clip,"Incandescent
Burning Ambition",Wild Card,solid origin and perks with better archetype than Abyss,13,A
,The Riposte,29,Void,Lightweight,57,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Repulsor Brace
Dimensional Shift
Demoralize","Destabilizing Rounds
Desperate Measures",None,"great perk pairing and archetype, just no origin",14,A
,Scathelocke,29,Kinetic,Adaptive,50,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Attrition Orbs
Shoot to Loot","Kinetic Tremors
Ancillary Ordinance",Veteran's Wisdom,"great origin for use case, classic kinetic combo",15,A
,Everburning Glitz,27,Kinetic,Rapid,54,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Attrition Orbs
Bewildering Burst","Kinetic Tremors
Ancillary Ordinance",Fleet Footed,"perks need playtime, but general package looks great",16,A
,VS Pyroelectric Propellant,29,Arc,Adaptive,50,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Attrition Orbs
Eddy Current
Strategist","Jolting Feedback
Gear Shift",Bray Legacy,"one of the best Jolting users, great utility and origin",17,A
,Chroma Rush,29,Kinetic,Rapid,54,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine","Bewildering Burst
Stopping Power","Kinetic Tremors
Ancillary Ordinance
All-Star",Splicer Surge,"class kinetic combos, okay origin, good frame",18,A
TBA,Snipehunt Mk. 47,29,Arc,Lightweight,48,Yes,"Fluted Barrel
Arrowhead Brake","Flared Magwell
Alloy Magazine",Jolting Feedback,"Chaos Reshaped
Voltshot
Attrition Orbs",Featherweight,"worse origin than Pyroelectric, but has Chaos",19,A
