WEAPON,,INFO,,,,,,,PERKS,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,VS Velocity Baton,29,Void,Area Denial,69,Yes,Quick Launch,High-Velocity Rounds,"Repulsor Brace
Dimensional Shift
Reconstruction","Destabilizing Rounds
Chain Reaction
Attrition Orbs",Bray Legacy,"BiS add clear + utility area denial with great origin trait, also damage now",1,S
,Ouster Engine,29,Stasis,Area Denial,58,Yes,Quick Launch,High-Velocity Rounds,"Air Trigger
Blast Distributor
Auto-Loading Holster","Chaos Reshaped
Crystalline Corpsebloom
Chain Reaction",Accelerated Assault,"also has Rimestealer, excellent perk spread",2,S
,Psychopomp,29,Arc,Area Denial,70,Yes,Quick Launch,High-Velocity Rounds,"Auto-Loading Holster
Blast Distributor
Impromptu Ammunition","Aggregate Charge
Voltshot
Attrition Orbs",Heretical Behavior,best non-survivability area denial,3,S
,Festival Flight,27,Strand,Area Denial,69,Yes,Quick Launch,High-Velocity Rounds,"Envious Arsenal
Blast Distributor
Slice","Elemental Honing
One for All
Attrition Orbs",Dream Work,"excellent utility and ammo generation potential, good boss damage perks",4,S
,Gizmo Weft,28,Strand,Micro-Missile,70,Yes,Quick Launch,"High-Velocity Rounds
Spike Grenades
Implosion Rounds","Air Trigger
Slideshot
Envious Arsenal","Bipod
Aggregate Charge
Elemental Honing",Häkke Breach Armaments,"Bipod option interesting for movement, also BiS swap BGL",5,S
,Motif-41,28,Solar,Area Denial,59,Yes,Quick Launch,High-Velocity Rounds,"Auto-Loading Holster
Wellspring
Impulse Amplifier","Incandescent
Master of Arms
Attrition Orbs",SUROS Synergy,versatile but not particularly strong in one area vs. other area denials,6,S
,Lost Signal,29,Stasis,Area Denial,63,Yes,Quick Launch,High-Velocity Rounds,"Auto-Loading Holster
Lead from Gold","Vorpal Weapon
Demolitionist
One for All",Radiolaria Transposer,very high QoL darkness Transcendence builder,7,S
,Theodolite,27,Arc,Micro-Missile,69,Yes,Quick Launch,"High-Velocity Rounds
Spike Grenades
Implosion Rounds","Reconstruction
Blast Distributor
Eddy Current","Elemental Honing
Voltshot
Frenzy",Problem Solver,"easy 2 mag for movement, Voltshot add clear decent",8,S
,"The Mountaintop
BRAVE version",29,Kinetic,Micro-Missile,61,Yes,Quick Launch,"High-Velocity Rounds
Spike Grenades
Implosion Rounds","Auto-Loading Holster
Impulse Amplifier
Lead from Gold","Recombination
All-Star
Elemental Honing",Indomitability,"good burst with Recomb, other movement option in kinetic slot",9,A
,Liturgy,29,Stasis,Double Fire,29,Yes,Quick Launch,"Disorienting Grenades
Spike Grenades","Envious Arsenal
Slideways","Chill Clip
Lead from Gold
Chain Reaction",Dark Ether Reaper,"excellent utility, good for Transcendence and freeze in rotations",10,A
,Romantic Death,27,Void,Wave,61,Yes,Quick Launch,High-Velocity Rounds,"Repulsor Brace
Proximity Power","Destabilizing Rounds
Chain Reaction
Surrounded",Tenacity,decent package but Baton is generally better,11,A
,New Pacific Epitaph,29,Stasis,Wave,70,Yes,Quick Launch,High-Velocity Rounds,"Chain Reaction
Air Trigger
Rimestealer","Redirection
Reaper's Tithe
Crystalline Corpsebloom",Restoration Ritual,"potential Collective Demolition option, otherwise insane add clear",12,A
,Wilderflight,29,Void,Double Fire,10,Yes,Quick Launch,"Spike Grenades
Disorienting Grenades","Envious Arsenal
Auto-Loading Holster
Repulsor Brace","Aggregate Charge
Bait and Switch
Withering Gaze",Tex Balanced Stock,"BiS DPS double fire, no Gravity Well though",13,A
,"Wilderflight
RotN version",26,Void,Double Fire,10,Yes,Quick Launch,"Spike Grenades
Disorienting Grenades","Envious Arsenal
Auto-Loading Holster
Demolitionist","Bait and Switch
Lead from Gold
Frenzy",Gravity Well,"worse swap GL than Theodolite, but excellent blinding option",14,A
,Martyr's Retribution,24,Solar,Wave,57,Yes,Quick Launch,High-Velocity Rounds,"Heal Clip
Demolitionist
Field Prep","Incandescent
Kill Clip
Desperate Measures",Cast No Shadows,"good Heal Clip user, nice origin trait, solid ammo gen potential",15,A
,"Forbearance
BRAVE version",29,Arc,Wave,67,Yes,Quick Launch,High-Velocity Rounds,"Redirection
Air Trigger
Unrelenting","Chain Reaction
Desperate Measures
Voltshot",Indomitability,no Souldrinker but still same classic perks,16,A
,Forbearance,29,Arc,Wave,67,Yes,Quick Launch,High-Velocity Rounds,"Rolling Storm
Unrelenting
Demolitionist","Chain Reaction
Gear Shift",Souldrinker,"better survivability than BRAVE version, good ammo gen",17,A
,Lingering Dread,29,Stasis,Lightweight,66,Yes,Quick Launch,Disorienting Grenades,"Auto-Loading Holster
Demolitionist
Discord","Bipod
Chill Clip",Bitterspite,best blinding option,18,A
