WEAPON,,INFO,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Point of the Stag,29,Arc,Precision,53,Yes,Elastic String,Compact Arrow Shaft,Dragonfly,"Voltshot
Archer's Gambit",Wild Card,Non-Denouement except with Wild Card,1,S
,Biting Winds,29,Kinetic,Precision,54,Yes,Elastic String,Compact Arrow Shaft,"Bewildering Burst
Impromptu Ammunition
Archer's Tempo","Kinetic Tremors
Explosive Head",Winterized Gear,somehow even better than Accrued,2,S
,The Spiteful Fang,29,Stasis,Lightweight,66,Yes,Elastic String,Compact Arrow Shaft,"Headstone
Rimestealer","Firefly
Crystalline Corpsebloom
Archer's Gambit",Forge's Kin,the fire and ice combo but on a bow,3,S
,Non-Denouement,29,Arc,Precision,58,Yes,Elastic String,Compact Arrow Shaft,"Dragonfly
Rolling Storm
Shoot to Loot","Voltshot
Chaos Reshaped
Meganeura",Collective Purpose,prime example of double splash over arrow uptime usefulness,4,S
,Accrued Redemption,29,Kinetic,Precision,60,Yes,Elastic String,Compact Arrow Shaft,"Attrition Orbs
Archer's Tempo","Kinetic Tremors
Firefly
Archer's Gambit",Photoinhibition,"good orb generator, solid KT scaling too",5,S
,Fortunate Star,27,Void,Lightweight,70,Yes,Elastic String,Compact Arrow Shaft,"Dragonfly
Repulsor Brace
Impromptu Ammunition","Destabilizing Rounds
Demoralize
Explosive Head",Veist Stinger,double splash + utility options,6,A
,Anamnesis,26,Void,Lightweight,62,Yes,Elastic String,Compact Arrow Shaft,"Repulsor Brace
Dragonfly
Archer's Tempo","Destabilizing Rounds
Demoralize
Explosive Head",Runneth Over,"double splash + utility options, worse origin than Fortunate",7,A
,Hush,29,Solar,Precision,55,Yes,Elastic String,Compact Arrow Shaft,"Burning Ambition
Firefly","Incandescent
Meganeura
Archer's Gambit",Gun and Run,BiS double splash solar bow,8,A
,Pre Astyanax IV,27,Solar,Precision,53,Yes,Elastic String,Compact Arrow Shaft,"Incandescent
Firefly","Burning Ambition
Explosive Head
Elemental Honing",Wild Card,double splash where Burning Ambition actually has use,9,A
,Tyranny of Heaven,29,Solar,Lightweight,68,Yes,Elastic String,Compact Arrow Shaft,"Dragonfly
Meganeura
Burning Ambition","Incandescent
Archer's Gambit",Explosive Pact,"great solar double splash, decent frame",10,A
,Convened Recurve,29,Void,High-Impact Longbow,41,Yes,Elastic String,Compact Arrow Shaft,"Repulsor Brace
Dimensional Shift
Withering Gaze","Destabilizing Rounds
Demoralize",Accelerated Assault,"draw time too long for typical add clear purposes, usable though",11,A
,King Orfeo,28,Arc,Precision,52,Yes,Elastic String,Compact Arrow Shaft,"Explosive Head
Archer's Tempo
Shoot to Loot","Meganeura
Jolting Feedback","Nail, Meet Hammer","only Meganeura bow, okay first column, worse than Non-Denouement",12,A
,Vengeful Whisper,29,Strand,Precision,53,Yes,Elastic String,Compact Arrow Shaft,"Explosive Head
Archer's Tempo
Slice","Meganeura
Hatchling
Archer's Gambit",Sundering,middling double splash,13,A
,Mercury-A,27,Kinetic,High-Impact Longbow,50,Yes,Elastic String,Compact Arrow Shaft,"Attrition Orbs
Successful Warm-Up",Kinetic Tremors,Tenacity,excessive draw time but still unique roll,14,A
,Strident Whistle,17,Solar,Precision,59,No,Elastic String,Compact Arrow Shaft,"Archer's Tempo
Shoot to Loot","Incandescent
Explosive Head
Dragonfly",Vanguard's Vindication,Archer's + Incandescent core,15,B
,Hushed Whisper,27,Strand,Precision,49,Yes,Elastic String,Compact Arrow Shaft,"Tear
Slice
Lead from Light","Hatchling
Archer's Gambit
Explosive Head",Wild Card,"Tear interesting on a bow, otherwise held back by Strand limitations",16,B
,Tripwire Canary,29,Arc,Lightweight,63,Yes,Elastic String,Compact Arrow Shaft,"Dragonfly
Archer's Tempo",Explosive Head,Ambush,technically double splash but a weaker version,17,B
