WEAPON,,INFO,,,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,Shield,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Rake Angle,29,Stasis,Aggressive,Zavala,,31,42,Yes,"Lightweight Emitter
Auxiliary Reserves","Appended Mag
Swap Mag","Overflow
Impulse Amplifier
Lead from Gold","Chill Clip
Close to Melee",Problem Solver,"fast 2 shot freeze, excellent utility perk array, CtM access",1,S
,Refusal of the Call,29,Strand,Adaptive,Pit of Heresy,,44,44,Yes,"Lightweight Emitter
Auxiliary Reserves","Appended Mag
Swap Mag","Slice
Close to Melee
Chain Reaction","Chaos Reshaped
Mega Kill Clip
Replenishing Aegis",Heretical Behavior,"only Slice glaive, very unique perk combos",2,S
,Forthcoming Deviance,29,Void,Rapid,Savation's Edge,,65,28,Yes,"Lightweight Emitter
Auxiliary Reserves","Appended Mag
Swap Mag","Repulsor Brace
Dimensional Shift
Impulse Amplifier","Destabilizing Rounds
Close to Melee
Chaos Reshaped",Collective Purpose,"only glaive with Chaos Reshaped access, solid neutral perks too",3,S
,The Heron,28,Void,Aggressive,Tenet of Bravery,,52,39,Yes,"Lightweight Emitter
Auxiliary Reserves","Appended Mag
Swap Mag","Repulsor Brace
Disruption Break
Lead from Gold","Destabilizing Rounds
Close to Melee
Redirection","Nail, Meet Hammer",probably BiS pairing with Techsec 4pc,4,S
,Lubrae's Ruin,29,Solar,Adaptive,Vow of the Disciple,,40,40,Yes,"Lightweight Emitter
Auxiliary Reserves","Appended Mag
Swap Mag","Close to Melee
Grave Robber
Frenzy","Chaos Reshaped
Incandescent
Unrelenting",Souldrinker,"not the best Souldrinker user, decent package though",5,S
,Nezarec's Whisper,29,Arc,Adaptive,Presage,,50,42,Yes,"Lightweight Emitter
Auxiliary Reserves","Appended Mag
Swap Mag","Demolitionist
Impulse Amplifier
Lead from Gold",Frenzy,Extrovert,"Extrovert triggers on melee kills, decent neutral perks too",6,S
,Ecliptic Distaff,29,Void,Adaptive,Solo Ops,,41,47,Yes,"Lightweight Emitter
Auxiliary Reserves","Appended Mag
Swap Mag","Repulsor Brace
Impulse Amplifier
Disruption Break","Close to Melee
Destabilizing Rounds
Chaos Reshaped",Vanguard Determination,"jack of all trades, also has Withering Gaze access",7,S
,Greasy Luck,29,Solar,Rapid,Ghosts of the Deep,,64,18,Yes,"Lightweight Emitter
Auxiliary Reserves","Appended Mag
Swap Mag","Chaos Reshaped
Reconstruction
Heal Clip","Close to Melee
Mega Kill Clip
Chain Reaction",Restoration Ritual,Chaos Reshaped and solid 2nd column,8,S
,The Enigma,29,Void,Adaptive,The Enclave,,45,45,Yes,"Lightweight Emitter
Auxiliary Reserves","Appended Mag
Swap Mag","Impulse Amplifier
Lead from Gold","Close to Melee
Frenzy",Psychohack,"solid origin and straightforward QoL perks, great shield duration",9,S
,Unexpected Resurgence,21,Arc,Adaptive,Trials,,51,50,No,"Lightweight Emitter
Auxiliary Reserves","Appended Mag
Swap Mag","Auto-Loading Holster
Impulse Amplifier
Replenishing Aegis","Frenzy
Close to Melee
Voltshot",Alacrity,"ALH is interesting but perks aren't stellar, best shield duration though",10,A
,Backfang,29,Arc,Rapid,Gambit,,65,27,Yes,"Lightweight Emitter
Auxiliary Reserves","Appended Mag
Swap Mag","Impulse Amplifier
Grave Robber
Lead from Gold","Surrounded
Close to Melee
Voltshot",Gun and Run,better shield duration than Greasy with similar perks/origin,11,A
,"Greasy Luck
RotN version",26,Solar,Rapid,Rite of the Nine,,64,18,Yes,"Lightweight Emitter
Auxiliary Reserves","Appended Mag
Swap Mag","Reconstruction
Lead from Gold
Heal Clip","Incandescent
Redirection
Close to Melee",Restoration Ritual,"interesting utility perks in both columns, awful shield duration",12,A
,Judgment of Kelgorath,29,Solar,Aggressive,Seraph's Shield,,35,25,Yes,"Lightweight Emitter
Auxiliary Reserves","Appended Mag
Swap Mag","Overflow
Demolitionist
Immovable Object","Close to Melee
Unstoppable Force
Impulse Amplifier",Ambush,"better overall perks vs. Albedo, decent overall",13,B
,Albedo Wing,29,Arc,Aggressive,Tenet of Bravery,,35,30,Yes,"Lightweight Emitter
Auxiliary Reserves","Appended Mag
Swap Mag","Grave Robber
Replenishing Aegis
Air Trigger","Lead from Gold
Demolitionist
Close to Melee",Dawning Surprise,"mediocre shield duration, perks nothing special",14,B
