WEAPON,,INFO,,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Kindled Orchid,29,Void,Adaptive,Arena Ops,,60,Yes,Fluted Barrel,Alloy Magazine,"Repulsor Brace
Shoot to Loot","Destabilizing Rounds
Explosive Payload",Forge's Kin,"probably the ""traditional"" hand cannon in the game, also has StL + EP on top",,S
,IRONWOOD 03,29,Void,Spread Shot,Distortions,,50,Yes,Barrel Shroud,Alloy Magazine,"Repulsor Brace
Dimensional Shift
Demolitionist","Destabilizing Rounds
Surrounded
Collective Action",Carrion Munitions,"most potent damage profile with almost every relevant void perk, great origin",,S
,Word of Crota,29,Void,Precision,Crota's End,,52,Yes,Fluted Barrel,Alloy Magazine,"Repulsor Brace
Dragonfly
Collective Demolition
",Destabilizing Rounds,Cursed Thrall,"great overall, strong but build-dependent origin, solid perks",,S
,Exalted Truth,29,Void,Adaptive,Trials,,58,Yes,Fluted Barrel,Alloy Magazine,"Destabilizing Rounds
Withering Gaze",Repulsor Brace,Fleet Footed,"not particularly remarkable but has classic void combo on good frame, poor origin",,S
,Modified B-7 Pistol,28,Stasis,Dynamic,Tharsis Outpost,,54,Yes,Fluted Barrel,Enhanced Heatsink,Firefly,"Headstone
Crystalline Corpsebloom",Accelerated Assault,"strongest possible double splash stasis combo, great frame, solid origin",,S
,Eyasluna,29,Stasis,Adaptive,Grasp of Avarice,,54,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine","Firefly
Meganeura","Headstone
Crystalline Corpsebloom
Chaos Reshaped",Unburied Treasure,same pairings as Modified B-7 but has Meganeura and Chaos diversity with worse damage profile,,S
,Zaouli's Bane,29,Solar,Adaptive,King's Fall,,50,Yes,Fluted Barrel,Alloy Magazine,"Explosive Payload
Redirection","Meganeura
Incandescent
Chaos Reshaped",Runneth Over,"interesting Redirection pairing, very lethal perk combos but lacks sustain",,S
,Posterity,29,Arc,Precision,Deep Stone Crypt,,53,Yes,Fluted Barrel,Alloy Magazine,Voltshot,"Redirection
Explosive Payload",Bray Inheritance,"probably best Voltshot hand cannon, still lower in lethality compared to other splash combos",,A
,Corundum Hammer,28,Strand,Adaptive,Trials,,51,Yes,Fluted Barrel,Alloy Magazine,"Firefly
Shoot to Loot
Slice","Tear
Explosive Payload",Fleet Footed,"decent double splash for a strand HC, great archetype, StL + EP option",,A
,Aureus Neutralizer,27,Kinetic,Spread Shot,Trials,,60,Yes,Barrel Shroud,Alloy Magazine,"Grave Robber
Vorpal Weapon","Trench Barrel
Cascade Point
Desperate Measures",Häkke Breach Armaments,"pairs well with Lucky Pants when avoiding Out of Luck, honestly not much use otherwise",,A
,Sightline Survey,29,Arc,Precision,Encore,,52,Yes,Fluted Barrel,Alloy Magazine,"Enlightened Action
Air Trigger",Voltshot,Radiolaria Transposer,"solid archetype + origin, but disappointing first column and Voltshot isn't great on HCs",,A
,Agape,27,Solar,Heavy Burst,Kepler,,55,Yes,Fluted Barrel,"High-Caliber Rounds
Alloy Magazine",Heal Clip,"Incandescent
Firefly
Burning Ambition",Exhaustive Research,"decent archetype, not a great user of Heal Clip, splash options are decent",,A
,D.F.A.,29,Kinetic,Adaptive,Pinnacle Ops,,58,Yes,Fluted Barrel,Alloy Magazine,Explosive Payload,Attrition Orbs,Accelerated Assault,"niche orb generation option (faster than Multimach, 4 shots), not good for much else",,A
,Service Revolver,29,Kinetic,Precision,Fireteam Ops,,48,Yes,Fluted Barrel,Alloy Magazine,"Shoot to Loot
Stopping Power",,Accelerated Assault,,,
,Unloved,29,Strand,Heavy Burst,Sundered Doctrine,,60,Yes,Fluted Barrel,,,,Subjugation,,,
,Midnight Coup,29,Kinetic,Adaptive,Onslaught,,60,Yes,Fluted Barrel,,,,Indomitability,,,
,Solemn Remembrance,27,Stasis,Precision,Crucible,,55,Yes,Fluted Barrel,,,,None,,,
,Ancient Gospel,29,Void,Adaptive,Garden of Salvation,,57,Yes,Fluted Barrel,,,,Photoinhibition,,,
,Triple Laureate,28,Stasis,Spread Shot,Tenet of Bravery,,56,Yes,Barrel Shroud,,,,Häkke Breach Armaments,,,
,Sarpedon-D,28,Arc,Spread Shot,"Tenet of Bravery, Zavala",,52,Yes,Barrel Shroud,,,,Accelerated Assault,,,
,Phoneutria Fera,27,Solar,Spread Shot,Tenet of Bravery,,56,Yes,Fluted Barrel,,,,Tenacity,,,
,Luna's Howl,29,Solar,Precision,Onslaught,,60,Yes,Fluted Barrel,,,,Indomitability,,,
,Epochal Integration,29,Solar,Adaptive,Neomuna,,54,Yes,Fluted Barrel,,,,Nanotech Tracer Missiles,,,
,Trust,29,Solar,Precision,Gambit,,60,Yes,Fluted Barrel,,,,Gun and Run,,,
,Vulpecula,29,Stasis,Precision,Shattered Throne,,52,Yes,Fluted Barrel,,,,Ignoble Deeds,,,
,Nation of Beasts,29,Arc,Adaptive,Last Wish,,51,Yes,Fluted Barrel,,,,Explosive Pact,,,
,Fatebringer,29,Kinetic,Adaptive,Vault of Glass,,53,Yes,Fluted Barrel,,,,Timelost Magazine,,,
,Maahes HC4,29,Void,Heavy Burst,Banshee,,50,Yes,Fluted Barrel,,,,Omolon Fluid Dynamics,,,
