WEAPON,,INFO,,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,VS Chill Inhibitor,29,Stasis,Rapid,Vesper's Host,,50,Yes,Quick Launch,Spike Grenades,"Envious Arsenal
Cascade Point
Chill Clip","Aggregate Charge
Elemental Honing
Surrounded",Bray Legacy,"almost every possible BiS perk on a heavy GL, origin decent too",1,S
,"Edge Transit
BRAVE version",29,Void,Adaptive,Onslaught,,38,Yes,Quick Launch,"Spike Grenades
Sticky Grenades","Envious Arsenal
Cascade Point
Chain Reaction","Elemental Honing
Explosive Light
Bait and Switch",Indomitability,"has sticky + EL access, also Cascade",2,S
,The Ever-Present,27,Strand,Rapid,Epic Desert Perpetual,,49,Yes,Quick Launch,"Spike Grenades
Mini Frags",Envious Arsenal,"Aggregate Charge
Bait and Switch
Elemental Honing",Frame of Reference,best non-Cascade + damage perk rapid HGL option,3,S
,Koraxis's Distress,29,Strand,Rapid,Root of Nightmares,,50,Yes,Quick Launch,"Spike Grenades
Mini Frags","Envious Arsenal
Chain Reaction","Bait and Switch
Chaos Reshaped
Surrounded",Harmonic Resonance,"solid overall dump GL, not really missing anything",4,S
,Outrageous Fortune,27,Solar,Rapid,Zavala,,40,Yes,Quick Launch,Spike Grenades,"Envious Arsenal
Incandescent","Bait and Switch
Explosive Light
Chain Reaction",Problem Solver,free exhaust origin + solid damage perks + good archetype,5,S
,Love and Death,29,Solar,Compressed Wave,Moon,,40,Yes,Quick Launch,High-Velocity Rounds,"Envious Arsenal
Cascade Point
Impromptu Ammunition","Aggregate Charge
Elemental Honing
Chain Reaction",Loss,"great staple perk pool, alt perks for add clear",6,S
,Canis Major,29,Solar,Rapid,Shattered Throne,,36,Yes,Quick Launch,"Spike Grenades
Mini Frags","Reconstruction
Incandescent
Rampage","Aggregate Charge
Bait and Switch
Chain Reaction",Ignoble Deeds,no Envious but has good add clear options for speedrunning stuff,7,A
,Doomsday,29,Arc,Adaptive,Gambit,,33,Yes,Quick Launch,Spike Grenades,Envious Arsenal,"Bait and Switch
Explosive Light
Chain Reaction",Gun and Run,very similar to other top of A adaptives,8,A
,Bitter/Sweet,25,Arc,Adaptive,"Xur, Kell's Fall?",,29,Yes,Quick Launch,Spike Grenades,Envious Arsenal,"Bait and Switch
Cascade Point
Explosive Light",Dark Ether Reaper,classic Envious/Bait adaptive combo,9,A
,Wicked Sister,25,Strand,Adaptive,Zavala,,24,Yes,Quick Launch,Spike Grenades,Envious Arsenal,"Bait and Switch
Cascade Point
Explosive Light",Nadir Focus,classic Envious/Bait adaptive combo,10,A
