WEAPON,,INFO,,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Song of Ir Yût,29,Arc,Adaptive,Crota's End,,53,Yes,"Arrowhead Brake
Fluted Barrel",Appended Mag,"Demolitionist
Reconstruction
Jolting Feedback","Mega Kill Clip
High Ground
Bait and Switch",Cursed Thrall,excellent origin trait and great neutral perks,1,S
,Qua Vinctus IV,28,Strand,High-Impact,Crucible,,38,Yes,"Arrowhead Brake
Fluted Barrel",Extended Mag,"Demolitionist
Hatchling
Slice","Meganeura
Killing Tally",Accelerated Assault,"great overall perk combo, archetype is decent",2,S
,Thermal Erosion,29,Solar,Rapid,Europa,,32,Yes,"Arrowhead Brake
Fluted Barrel",Appended Mag,"Demolitionist
Incandescent","Meganeura
Burning Ambition
Mega Kill Clip",Winterized Gear,"very solid overall, just needs better origin",3,S
,Pro Memoria,29,Strand,Aggressive,Pale Heart,,45,Yes,"Arrowhead Brake
Fluted Barrel",Extended Mag,"Demolitionist
Reconstruction
Tear","Desperate Measures
Bait and Switch
Mega Kill Clip",Dealer's Choice,solid origin and great neutral perks,4,S
,Circular Logic,29,Strand,Adaptive,Neomuna,,51,Yes,"Arrowhead Brake
Fluted Barrel",Extended Mag,"Firefly
Demolitionist
Fourth Time's the Charm","Mega Kill Clip
Hatchling
Desperate Measures",Nanotech Tracer Missiles,"solid origin, probably best manual reload LMG option, still has Demo",5,S
,Ulterior Observation,27,Stasis,Aggressive,Kepler,,42,Yes,"Arrowhead Brake
Fluted Barrel",Extended Mag,"Demolitionist
Headstone
Envious Arsenal","Dragonfly
Rimestealer
Killing Tally",Exhaustive Research,solid origin and great neutral perks,6,S
,Corrective Measure,29,Void,Aggressive,Vault of Glass,,50,Yes,"Arrowhead Brake
Fluted Barrel",Tactical Mag,"Destabilizing Rounds
Firefly
Demolitionist","One for All
Demoralize
Killing Tally",Timelost Magazine,great origin and good neutral perks with option for double splash/damage,7,S
,Chain of Command,29,Stasis,Adaptive,Solo Ops,,54,Yes,"Arrowhead Brake
Fluted Barrel",Extended Mag,"Headstone
Overflow","Meganeura
Demolitionist
Desperate Measures",Wild Card,"decent double splash, good origin, option for Demo reload",8,S
,Bane of Sorrow,29,Void,High-Impact,Pantheon,,44,Yes,"Arrowhead Brake
Fluted Barrel",Extended Mag,"Destabilizing Rounds
Dimensional Shift
Collective Demolition","Mega Kill Clip
Meganeura
Killing Tally",Elliptical Orbit,best non-Demo LMG,9,S
,Qullim's Terminus,29,Stasis,High-Impact,King's Fall,,46,Yes,"Arrowhead Brake
Fluted Barrel",Tactical Mag,Demolitionist,"Mega Kill Clip
Crystalline Corpsebloom
Headstone",Runneth Over,"finally got usable 1st column, solid package otherwise",10,S
,"Terminus Horizon
RotN version",26,Arc,High-Impact,Rite of the Nine,,48,Yes,"Arrowhead Brake
Fluted Barrel",Alloy Magazine,"Demolitionist
Reconstruction
Dragonfly","Rolling Storm
Killing Tally
Jolting Feedback",Gravity Well,"Arc splash perks mediocre on LMGs, great first column though",11,A
,Seventh Seraph SAW,29,Arc,High-Impact,Cosmodrome,,40,Yes,"Arrowhead Brake
Fluted Barrel",Appended Mag,"Reconstruction
Trickle Charge","Meganeura
Mega Kill Clip
Rolling Storm",Eyes Up,no Demo but core perk combo is solid,12,A
,Terminus Horizon,29,Arc,High-Impact,Spire of the Watcher,,48,Yes,"Arrowhead Brake
Fluted Barrel",Alloy Magazine,"Meganeura
Reconstruction
Fourth Time's the Charm","Mega Kill Clip
Rolling Storm",Tex Balanced Stock,"splash + damage perk option, Recon as well, no Demo",13,A
,Commemoration,29,Void,Adaptive,Deep Stone Crypt,,55,Yes,"Arrowhead Brake
Fluted Barrel",Appended Mag,"Reconstruction
Dragonfly
Subsistence","Killing Tally
Repulsor Brace
Redirection",Bray Inheritance,solid neutral combos but nothing special,14,A
