WEAPON,,INFO,,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Hezen Vengeance,29,Solar,Aggressive,Vault of Glass,,50,Yes,Quick Launch,Impact Casing,"Envious Arsenal
Cluster Bomb
Collective Demolition","Bait and Switch
Aggregate Charge
Bipod",Timelost Magazine,"double damage options, insane origin, Bipod swap option",1,S
,Cynosure,29,Strand,Adaptive,Fireteam Ops,,47,Yes,Quick Launch,Impact Casing,Envious Arsenal,"Aggregate Charge
Bait and Switch
Bipod",Accelerated Assault,Envious + decent perks + Accelerated Assault + good frame,2,S
,The Hothead,29,Arc,Adaptive,Pinnacle Ops,,34,Yes,Quick Launch,Impact Casing,Envious Arsenal,"Aggregate Charge
Elemental Honing
Bipod",Accelerated Assault,essentially identical to Cynosure,3,S
,The When and Where,27,Stasis,Adaptive,Desert Perpetual,,38,Yes,Quick Launch,Impact Casing,"Clown Cartridge
Reconstruction
Overflow","Bait and Switch
Elemental Honing
Bipod",Frame of Reference,missing Envious but great otherwise as a burst specialist,4,S
,Crux Celeritas IV,29,Strand,Aggressive,SRL,,22,Yes,Quick Launch,Impact Casing,"Reconstruction
Clown Cartridge","Aggregate Charge
Elemental Honing
Bipod",Wild Card,basically The When and Where with worse origin,5,S
,Bellowing Giant,29,Void,Adaptive,Arena Ops,,48,Yes,Quick Launch,Impact Casing,Lasting Impression,"Aggregate Charge
Reaper's Tithe
Bipod",Forge's Kin,good perks but single dump is awkward,6,S
,Roar of the Bear,29,Solar,High-Impact,Iron Banner,,38,Yes,Quick Launch,Impact Casing,"Explosive Light
Reconstruction","Reaper's Tithe
Bipod",Skulking Wolf,"true double damage perks, need to find a way to dump though",7,S
,Apex Predator,29,Solar,Adaptive,Last Wish,,33,Yes,Quick Launch,Impact Casing,"Reconstruction
Cluster Bomb
Chain Reaction","Bait and Switch
Reaper's Tithe
Bipod",Explosive Pact,"double damage with Cluster, just worse origin than Hezen",8,S
,"Cold Comfort
RotN version",26,Stasis,Aggressive,Rite of the Nine,,45,Yes,Quick Launch,Impact Casing,"Envious Arsenal
Reconstruction","Elemental Honing
Bait and Switch
Bipod",Restoration Ritual,worse origin than Hezen with no Cluster option,9,A
,Tomorrow's Answer,29,Void,High-Impact,Trials,,37,Yes,Quick Launch,Impact Casing,"Envious Arsenal
Air Trigger","Bait and Switch
Explosive Light
Bipod",Wild Card,"interesting option post-reserve nerf, frame difference",10,A
,Heretic,29,Arc,Aggressive,Moon,,32,Yes,Quick Launch,Impact Casing,"Envious Arsenal
Cluster Bomb","Explosive Light
Gear Shift
Bipod",Loss,"worse origin than Cold Comfort, but Cluster option and worse damage perks",11,A
,Bad Omens,29,Void,Aggressive,Gambit,,35,Yes,Quick Launch,Alloy Casing,"Bipod
Auto-Loading Holster","Elemental Honing
Bait and Switch
Explosive Light
",Gun and Run,"first Bipod + true damage perk rocket, worse than Cluster pairing",12,A
,Red Herring,29,Void,Adaptive,Throne World,,36,Yes,Quick Launch,Impact Casing,"Reconstruction
Cluster Bomb",Elemental Honing,Psychohack,"mediocre double damage, no Envious, otherwise okay",13,A
