WEAPON,,INFO,,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Ammo,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Threat Level,29,Kinetic,Rapid,Pantheon,,52,Yes,Barrel Shroud,Tactical Mag,"Cascade Point
One-Two Punch
Lead from Gold","All-Star
Trench Barrel
Chaos Reshaped",Elliptical Orbit,,1,S
,Found Verdict,29,Arc,Aggressive,Vault of Glass,,34,Yes,Barrel Shroud,Assault Mag,"Aggregate Charge
Discord
Rewind Rounds","Trench Barrel
One-Two Punch
Gear Shift",Timelost Magazine,,2,S
,Perfect Paradox,29,Kinetic,Rapid,"World, Banshee",,54,Yes,Barrel Shroud,Tactical Mag,"Pugilist
Stopping Power
Threat Detector","One-Two Punch
Trench Barrel
All-Star",Cast No Shadows,,3,S
,Heritage,12,Kinetic,Pinpoint Slug,Deep Stone Crypt,,49,Yes,Fluted Barrel,Assault Mag,"Redirection
Reconstruction","Cascade Point
Aggregate Charge
Recombination",Bray Inheritance,,4,S
,Basso Ostinato,29,Void,Rapid,Neomuna,,50,Yes,Barrel Shroud,Tactical Mag,"Grave Robber
Demolitionist
Discord","One-Two Punch
Trench Barrel",Nanotech Tracer Missiles,,5,S
,Unvoiced,29,Void,Pinpoint Slug,Sundered Doctrine,,46,Yes,Fluted Barrel,Assault Mag,"Redirection
Fourth Time's the Charm","Bait and Switch
Vorpal Weapon",Subjugation,,6,A
,Felwinter's Lie,29,Solar,Shot Package,Iron Banner,,34,Yes,Barrel Shroud,Assault Mag,"Cascade Point
Slickdraw","Bait and Switch
Trench Barrel
One-Two Punch",Skulking Wolf,,7,A
,IKELOS_SG_v1.0.3,29,Solar,Rapid,Seraph's Shield,,60,Yes,Barrel Shroud,Tactical Mag,Grave Robber,"One-Two Punch
Trench Barrel
Surrounded",Rasputin's Arsenal,,8,A
,The Deicide,29,Arc,Rapid,Nessus,,51,Yes,Barrel Shroud,Tactical Mag,"Discord
Auto-Loading Holster
Lead from Gold","One-Two Punch
Trench Barrel
Cascade Point",Fail-deadly,,9,A
,One Small Step,29,Stasis,Rapid,Moon,,53,Yes,Barrel Shroud,Tactical Mag,"Grave Robber
Lead from Gold","One-Two Punch
Trench Barrel",Loss,,10,A
,Imperial Decree,29,Kinetic,Aggressive,Xur,,39,Yes,Barrel Shroud,Assault Mag,Auto-Loading Holster,"Trench Barrel
Surrounded",To Excess,,11,A
,"A Sudden Death
RotN version",26,Void,Aggressive,Rite of the Nine,,38,Yes,Barrel Shroud,Assault Mag,"One-Two Punch
Discord","Trench Barrel
Redirection",Gravity Well,,12,A
