WEAPON,,INFO,,,,,,,,,PERKS,,,,,ANALYSIS,,
🖼️,Name,Season,Energy,Frame,Source,Stun,Charge,Impact,Swing Speed,⬆️,Barrel,Mag,Perk 1,Perk 2,Origin Trait,Notes,Rank,Tier
,Synanceia,27,Solar,Wave,Tenet of Bravery,,50,62,,Yes,"Jagged Edge
Tempered Edge","Swordmaster's Guard
Heavy Guard",,,Tenacity,,,
,The Slammer,29,Stasis,Vortex,Pinnacle Ops,,20,60,,Yes,"Jagged Edge
Tempered Edge","Swordmaster's Guard
Heavy Guard",,,Accelerated Assault,,,
,False Idols,29,Solar,Vortex,Pale Heart,,20,60,,Yes,"Jagged Edge
Tempered Edge","Swordmaster's Guard
Heavy Guard",,,Dealer's Choice,,,
,Sullen Claw,28,Void,Lightweight,Equilibrium,,50,62,,Yes,"Jagged Edge
Tempered Edge","Swordmaster's Guard
Heavy Guard",,,Imperial Allegiance,,,
,Terciopelo-4bl,29,Solar,Lightweight,SRL,,50,58,,Yes,"Jagged Edge
Tempered Edge","Swordmaster's Guard
Heavy Guard",,,Veist Stinger,,,
,Bequest,29,Arc,Adaptive,Deep Stone Crypt,,70,70,,Yes,"Jagged Edge
Tempered Edge","Swordmaster's Guard
Heavy Guard",,,Bray Inheritance,,,
,Aurora Dawn,27,Stasis,Wave,Fireteam Ops,,50,62,,Yes,"Jagged Edge
Tempered Edge","Swordmaster's Guard
Heavy Guard",,,Vanguard Determination,,,
,Summum Bonum,29,Arc,Wave,Salvation's Edge,,20,60,,Yes,"Jagged Edge
Tempered Edge","Swordmaster's Guard
Heavy Guard",,,Collective Purpose,,,
,Abyssal Edge,29,Strand,Wave,Xur,,20,60,,Yes,"Jagged Edge
Tempered Edge","Swordmaster's Guard
Heavy Guard",,,Willing Vessel,,,
,Geodetic HSm,22,Void,Adaptive,Banshee,,47,62,,Yes,"Jagged Edge
Tempered Edge","Swordmaster's Guard
Heavy Guard",,,Nadir Focus,,,
,"Falling Guillotine
BRAVE version",23,Void,Vortex,Onslaught,,20,60,,Yes,"Jagged Edge
Tempered Edge","Swordmaster's Guard
Heavy Guard",,,Indomitability,,,
,Ill Omen,29,Stasis,Caster,Encore,,52,60,,Yes,"Jagged Edge
Tempered Edge","Swordmaster's Guard
Heavy Guard",,,Radiolaria Transposer,,,
,Hero of Ages,29,Arc,Aggressive,Grasp of Avarice,,25,60,,Yes,"Jagged Edge
Tempered Edge","Swordmaster's Guard
Heavy Guard",,,Unburied Treasure,,,
,Nasreddin,29,Arc,Lightweight,EDZ,,20,60,,Yes,"Jagged Edge
Tempered Edge","Swordmaster's Guard
Heavy Guard",,,Veteran's Wisdom,,,
,Sola's Scar,29,Solar,Caster,Trials,,50,60,,Yes,"Jagged Edge
Tempered Edge","Swordmaster's Guard
Heavy Guard",,,Fleet Footed,,,
,Chivalric Fire,29,Void,Caster,Solo Ops,,50,60,,Yes,"Jagged Edge
Tempered Edge","Swordmaster's Guard
Heavy Guard",,,Vanguard Determination,,,
,Night Terror,29,Arc,Caster,Moon,,20,60,,Yes,"Jagged Edge
Tempered Edge","Swordmaster's Guard
Heavy Guard",,,Loss,,,
,Hardline Cut,29,Arc,Adaptive,Tenet of Bravery,,50,62,,Yes,"Jagged Edge
Tempered Edge","Swordmaster's Guard
Heavy Guard",,,"Nail, Meet Hammer",,,
,Abide the Return,29,Solar,Adaptive,Dreaming City,,20,60,,Yes,"Jagged Edge
Tempered Edge","Swordmaster's Guard
Heavy Guard",,,Advanced Reflexes,,,
,The Other Half,29,Void,Adaptive,Dares,,20,60,,Yes,"Jagged Edge
Tempered Edge","Swordmaster's Guard
Heavy Guard",,,Hot Swap,,,
,Eighty-Six,28,Strand,Vortex,"Tenet of Bravery, Banshee",,20,60,,Yes,"Jagged Edge
Tempered Edge","Swordmaster's Guard
Heavy Guard",,,Bray Legacy,,,
,Goldtusk,29,Arc,Lightweight,Xur,,20,60,,Yes,"Jagged Edge
Tempered Edge",Swordmaster's Guard,,,Veist Stinger,,,
,Temptation's Hook,29,Arc,Caster,"World, Banshee",,50,60,,Yes,"Jagged Edge
Tempered Edge","Swordmaster's Guard
Heavy Guard",,,Paracausal Fluid,,,
,Stryker's Sure-Hand,29,Void,Aggressive,Arena Ops,,20,73,,Yes,"Jagged Edge
Tempered Edge",Heavy Guard,,,Forge's Kin,,,
,Dragoncult Sickle,29,Strand,Caster,Warlord's Ruin,,50,60,,Yes,"Jagged Edge
Tempered Edge","Swordmaster's Guard
Heavy Guard",,,Sundering,,,
,Crown-Splitter,14,Void,Aggressive,Xur,,20,73,,No,"Jagged Edge
Tempered Edge",Heavy Guard,,,None,,,
,Double-Edged Answer,23,Void,Adaptive,Zavala,,20,60,,Yes,"Jagged Edge
Tempered Edge","Swordmaster's Guard
Heavy Guard",,,Nadir Focus,,,
,Negative Space,11,Solar,Adaptive,Xur,,20,60,,No,"Jagged Edge
Tempered Edge","Swordmaster's Guard
Heavy Guard",,,None,,,
,Just In Case,21,Solar,Adaptive,Xur,,20,60,,No,"Jagged Edge
Tempered Edge","Swordmaster's Guard
Heavy Guard",,,Disaster Plan,,,
,Steel Sybil Z-14,4,Void,Adaptive,"Shaxx, Dares",,20,60,,No,"Jagged Edge
Tempered Edge","Swordmaster's Guard
Heavy Guard",,,None,,,
,Death's Razor,29,Void,Vortex,Xur,,20,60,,Yes,"Jagged Edge
Tempered Edge",Infinite Guard,,,To Excess,,,
,Falling Guillotine,11,Void,Vortex,Onslaught,,20,60,,No,"Jagged Edge
Tempered Edge","Swordmaster's Guard
Heavy Guard",,,None,,,
,Half-Truths,29,Arc,Adaptive,Dares,,20,60,,Yes,"Jagged Edge
Tempered Edge","Swordmaster's Guard
Heavy Guard",,,Hot Swap,,,
,Caretaker,29,Solar,Adaptive,NODE.OVRD.AVALON,,20,60,,Yes,"Jagged Edge
Tempered Edge","Swordmaster's Guard
Heavy Guard",,,Noble Deeds,,,
,Honor's Edge,10,Arc,Adaptive,"Xur, Dares",,20,60,,No,"Jagged Edge
Tempered Edge","Swordmaster's Guard
Heavy Guard",,,None,,,
,Eternity's Edge,14,Solar,Vortex,Xur,,20,60,,No,"Jagged Edge
Tempered Edge",Infinite Guard,,,None,,,
,Throne-Cleaver,29,Solar,Aggressive,Xur,,20,73,,Yes,"Jagged Edge
Tempered Edge",Heavy Guard,,,To Excess,,,
