#,Pic,Name,Rarity,Slot,Affinity,Type,Ammo,Column 1,Column 2,Perk 1,Perk 2,Purpose,Usage,Source
1,,Ergo Sum,Exotic,Energy,,,,Enduring Blade,Swordmaster's Guard,"Wave frame
Vortex frame
Lightweight frame","Arc Conductor
Wolfpack Rounds
The Perfect Fifth","Movement
Add clear
Damage buff",Universal,Overthrow
1,,Falling Guillotine,Legendary,Power,,,,Tempered Edge,"Heavy Guard
Enduring Guard","Attrition Orbs
Repulsor Brace
Chain Reaction",Eager Edge,Movement,Universal,Onslaught
1,,False Idols,Legendary,Power,,,,Tempered Edge,"Heavy Guard
Enduring Guard",Eager Edge,"Chain Reaction
Surrounded","Movement
Super generation",Universal,Pale Heart
1,,Gizmo Weft,Legendary,Kinetic,,,,Quick Launch,"High-Velocity Rounds
Spike Grenades","Air Trigger
Slice",Bipod,Movement,Universal,Tenet of Bravery
1,,Gjallarhorn,Exotic,Power,,,,Fixed,Fixed,Fixed,Fixed,"Damage buff
Add clear",Universal,Exotic quest
1,,Hezen Vengeance,Legendary,Power,,,,Quick Launch,Impact Casing,"Cluster Bomb
Auto-Loading Holster
Impulse Amplifier","Aggregate Charge
Elemental Honing
Bipod",Burst damage,Universal,Vault of Glass
1,,Lotus-Eater,Legendary,Energy,,,,Volatile Launch,Tactical Mag,Shoot to Loot,"Destabilizing Rounds
Withering Gaze",QoL ammo pickups,Universal,"N/A (StL)
Pinnacle Ops"
1,,Nasreddin,Legendary,Power,,,,Tempered Edge,Heavy Guard,"Flash Counter
Sharp Harvest",Eager Edge,Movement,Universal,EDZ
1,,Praxic Blade,Exotic,Kinetic,,,,Offensive Form,Blade Ammo,Impact Core,Hyperblade,Movement,Universal,Renegades quest
1,,Pure Recollection,Legendary,Energy,,,,Fluted Barrel,Ricochet Rounds,Envious Arsenal,"Bait and Switch
Withering Gaze","Dying
Debuff extension",Universal,Tenet of Bravery
1,,Still Hunt,Exotic,Energy,,,,Fixed,Fixed,Fixed,Fixed,Burst damage,Universal,Pale Heart quest
1,,Sullen Claw,Legendary,Power,,,,Tempered Edge,Heavy Guard,"Eager Edge
Vorpal Weapon","Assassin's Blade
Whirlwind Blade","Movement
Boss damage",Universal,Equilibrium
1,,Terciopelo-4bl,Legendary,Power,,,,Tempered Edge,Heavy Guard,Eager Edge,"Sharp Harvest
Chaos Reshaped",Movement,Universal,SRL
1,,The Slammer,Legendary,Power,,,,Tempered Edge,"Heavy Guard
Enduring Guard",Eager Edge,"Cold Steel
Chaos Reshaped
Surrounded",Movement,Universal,Pinnacle Ops
1,,Tractor Cannon,Exotic,Power,,,,Fixed,Fixed,Fixed,Fixed,"Damage debuff
Enemy displacement",Universal,New Light quest
2,,A Good Shout,Legendary,Power,,,,Ultralight Rail,Heavy Bolts,Envious Arsenal,High Ground,Boss damage,Universal,Tenet of Bravery
2,,Adamantite,Legendary,Kinetic,,,,Fluted Barrel,Accurized Rounds,Slice,Attrition Orbs,Damage buff,Universal,Xur
2,,Alethonym,Exotic,Kinetic,,,,Fixed,Fixed,Fixed,Fixed,"Movement
Ammo generation",Universal,Monument to Lost Lights
2,,Anarchy,Exotic,Power,,,,Fixed,Fixed,Fixed,Fixed,Add clear,"VoG, DSC",Monument to Lost Lights
2,,Apostate,Legendary,Energy,,,,Fluted Barrel,Tactical Mag,Shoot to Loot,Explosive Payload,QoL ammo pickups,Universal,Altars of Sorrow
2,,Basso Ostinato,Legendary,Energy,,,,Barrel Shroud,"Tactical Mag
Light Mag","Grave Robber
Demolitionist","One-Two Punch
Trench Barrel",Boss damage,Universal,Neomuna
2,,Choir of One,Exotic,Energy,,,,Fluted Barrel,Alloy Magazine,Onslaught,Fixed,Add clear,Universal,Encore
2,,Chronophage,Legendary,Energy,,,,Fluted Barrel,Light Battery,Shoot to Loot,"Destabilizing Rounds
Desperate Measures",QoL ammo pickups,Universal,Encore
2,,Conspiracy Honed,Legendary,Kinetic,,,,Fluted Barrel,Ionized Heatsink,Vorpal Weapon,"Firing Line
Bait and Switch",Burst damage,Universal,Equilibrium
2,,Cusp Sempiternal,Legendary,Energy,,,,Fluted Barrel,Accurized Rounds,Impulse Amplifier,Withering Gaze,"Damage buff
Debuff extension",Universal,Desert Perpetual (Epic)
